測站,日期,AQI,空氣品質指標,O3,PM2.5_AVG,PM10_AVG,CO_8hr,SO2,NO2,地址,lng,lat
中北站,2023/08/20 00:00,62,二氧化氮小時值,51,8,27,1.2,1.8,46.9, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/21 00:00,63,二氧化氮小時值,67,9,30,1.15,2.0,48.3, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/22 00:00,61,二氧化氮小時值,48,9,28,1.51,1.0,45.9, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/23 00:00,55,二氧化氮小時值,59,8,27,1.14,1.5,37.5, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/24 00:00,62,二氧化氮小時值,62,10,30,1.07,2.1,47.0, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/25 00:00,59,二氧化氮小時值,30,8,26,1.01,2.2,43.2, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/26 00:00,33,二氧化氮小時值,17,3,15,0.65,0.9,19.7, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/27 00:00,57,二氧化氮小時值,41,6,20,0.84,2.1,39.9, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/28 00:00,64,二氧化氮小時值,60,10,29,1.16,2.5,49.0, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/29 00:00,55,二氧化氮小時值,21,8,23,1.01,3.7,37.6, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/30 00:00,42,二氧化氮小時值,13,12,26,1.01,16.3,24.9, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/08/31 00:00,33,二氧化氮小時值,13,6,22,0.83,3.2,19.6, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/09/01 00:00,30,二氧化氮小時值,14,4,18,0.91,2.8,18.2, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/09/02 00:00,29,二氧化氮小時值,15,4,20,0.67,1.4,17.4, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/09/03 00:00,30,二氧化氮小時值,26,3,19,0.42,0.7,18.1, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
中北站,2023/09/04 00:00,47,二氧化氮小時值,30,4,18,0.86,1.1,28.1, 臺北市中山北路、南京東路口, 121.5226225,25.05216589
